model,best_params,tuning_best_f1,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_brier,test_ece,cv_folds,cv_repeats,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,cv_brier_mean,cv_brier_std,selection_score
ExtraTrees,"{""classifier__max_depth"": 3, ""classifier__min_samples_split"": 2, ""classifier__n_estimators"": 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.140343537414966,0.3680952380952381,2,5,0.9083333333333332,0.1416666666666667,0.7,0.45825756949558405,1.0,0.0,1.0,0.0,0.05858916666666667,0.02996140875498569,0.7
LogisticRegression,"{""classifier__C"": 1.0, ""classifier__penalty"": ""l2""}",0.8333333333333333,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,1.0,0.20092323292399772,0.2659310381139983,2,5,0.975,0.075,0.9666666666666666,0.1,1.0,0.0,1.0,0.0,0.05002408764455195,0.03802459829129814,0.6444444444444444
RandomForest,"{""classifier__max_depth"": 3, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 2, ""classifier__n_estimators"": 100}",0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.09913333333333334,0.31333333333333335,2,5,0.7916666666666667,0.14068285846778444,0.3,0.45825756949558394,1.0,0.0,1.0,0.0,0.10451333333333332,0.013933561700680367,0.3
SVC,"{""classifier__C"": 0.5, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""linear""}",1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.3199825354930383,0.2567156769922272,2,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.40522857738908125,0.08636105727209545,0.0
