model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,ece,repeated_cv_folds,repeated_cv_repeats,repeated_cv_accuracy_mean,repeated_cv_accuracy_std,repeated_cv_f1_mean,repeated_cv_f1_std,repeated_cv_roc_auc_mean,repeated_cv_roc_auc_std,repeated_cv_pr_auc_mean,repeated_cv_pr_auc_std
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,0.11678244023026903,0.32410465926401033,2,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,0.08696666666666668,0.29444444444444445,2,5,0.7833333333333333,0.1452966314513558,0.3,0.45825756949558394,1.0,0.0,1.0,0.0
